word,toefl_beginner,toefl_intermediate,toefl_advanced,ielts_beginner,ielts_intermediate,ielts_advanced,business_english,everyday_english
speaker,1,0,0,1,0,0,1,1
special,1,0,0,1,0,0,1,1
specialist,0,1,0,0,1,0,1,0
specialize,0,1,0,0,1,0,1,0
species,0,1,0,0,1,0,0,0
specific,0,1,0,0,1,0,1,1
specification,0,0,1,0,0,1,1,0
specify,0,1,0,0,1,0,1,0
specimen,0,0,1,0,0,1,0,0
spectacle,0,0,1,0,0,1,0,0
spectacular,0,1,0,0,1,0,0,0
spectrum,0,0,1,0,0,1,0,0
speculate,0,0,1,0,0,1,1,0
speculation,0,0,1,0,0,1,1,0
speech,1,0,0,1,0,0,1,1
speed,1,0,0,1,0,0,0,1
spell,1,0,0,1,0,0,0,1
spend,1,0,0,1,0,0,1,1
sphere,0,1,0,0,1,0,0,0
spill,0,1,0,0,1,0,0,1
spin,0,1,0,0,1,0,0,1
spirit,1,0,0,1,0,0,0,1
spiritual,0,1,0,0,1,0,0,0
spite,0,1,0,0,1,0,0,1
split,0,1,0,0,1,0,1,1
spoil,0,1,0,0,1,0,0,1
spokesman,0,1,0,0,1,0,1,0
sponsor,0,1,0,0,1,0,1,0
spontaneous,0,0,1,0,0,1,0,0
spoon,1,0,0,1,0,0,0,1
sport,1,0,0,1,0,0,0,1
spot,1,0,0,1,0,0,0,1
spouse,0,1,0,0,1,0,1,1
spread,1,0,0,1,0,0,1,1
spring,1,0,0,1,0,0,0,1
spur,0,0,1,0,0,1,1,0
spy,0,1,0,0,1,0,0,1
squad,0,1,0,0,1,0,0,1
square,1,0,0,1,0,0,0,1
squeeze,0,1,0,0,1,0,0,1
stability,0,1,0,0,1,0,1,0
stable,0,1,0,0,1,0,1,1
stack,0,1,0,0,1,0,1,1
staff,1,0,0,1,0,0,1,1
stage,1,0,0,1,0,0,1,1
stain,0,1,0,0,1,0,0,1
stair,1,0,0,1,0,0,0,1
stake,0,1,0,0,1,0,1,0
stall,0,1,0,0,1,0,0,1
stamp,1,0,0,1,0,0,0,1
stance,0,0,1,0,0,1,1,0
stand,1,0,0,1,0,0,0,1
standard,1,0,0,1,0,0,1,1
staple,0,1,0,0,1,0,1,0
star,1,0,0,1,0,0,0,1
stare,0,1,0,0,1,0,0,1
start,1,0,0,1,0,0,1,1
startle,0,1,0,0,1,0,0,0
starve,0,1,0,0,1,0,0,1
state,1,0,0,1,0,0,1,1
statement,1,0,0,1,0,0,1,1
station,1,0,0,1,0,0,0,1
statistic,0,1,0,0,1,0,1,0
status,0,1,0,0,1,0,1,1
statute,0,0,1,0,0,1,1,0
stay,1,0,0,1,0,0,0,1
steady,0,1,0,0,1,0,0,1
steal,1,0,0,1,0,0,0,1
steam,1,0,0,1,0,0,0,1
steel,1,0,0,1,0,0,1,1
steep,0,1,0,0,1,0,0,1
steer,0,1,0,0,1,0,0,1
stem,0,1,0,0,1,0,0,0
step,1,0,0,1,0,0,1,1
stereotype,0,0,1,0,0,1,0,0
stick,1,0,0,1,0,0,0,1
stiff,0,1,0,0,1,0,0,1
still,1,0,0,1,0,0,0,1
stimulate,0,0,1,0,0,1,1,0
stimulus,0,0,1,0,0,1,1,0
sting,0,1,0,0,1,0,0,1
stir,0,1,0,0,1,0,0,1
stock,1,0,0,1,0,0,1,1
stomach,1,0,0,1,0,0,0,1
stone,1,0,0,1,0,0,0,1
stop,1,0,0,1,0,0,0,1
storage,0,1,0,0,1,0,1,1
store,1,0,0,1,0,0,1,1
storm,1,0,0,1,0,0,0,1
story,1,0,0,1,0,0,0,1
straight,1,0,0,1,0,0,0,1
strain,0,1,0,0,1,0,0,0
strand,0,0,1,0,0,1,0,0
strange,1,0,0,1,0,0,0,1
stranger,1,0,0,1,0,0,0,1
strategic,0,1,0,0,1,0,1,0
strategy,0,1,0,0,1,0,1,0
straw,1,0,0,1,0,0,0,1
stream,1,0,0,1,0,0,0,1
street,1,0,0,1,0,0,0,1
strength,1,0,0,1,0,0,1,1
strengthen,0,1,0,0,1,0,1,0
stress,1,0,0,1,0,0,1,1
stretch,0,1,0,0,1,0,0,1
strict,0,1,0,0,1,0,1,1
stride,0,0,1,0,0,1,0,0
strike,0,1,0,0,1,0,1,1
striking,0,1,0,0,1,0,0,0
string,1,0,0,1,0,0,0,1
strip,0,1,0,0,1,0,0,1
strive,0,0,1,0,0,1,1,0
stroke,0,1,0,0,1,0,0,1
strong,1,0,0,1,0,0,0,1
structural,0,1,0,0,1,0,1,0
structure,0,1,0,0,1,0,1,0
struggle,0,1,0,0,1,0,0,1
stubborn,0,1,0,0,1,0,0,1
student,1,0,0,1,0,0,0,1
studio,1,0,0,1,0,0,0,1
study,1,0,0,1,0,0,1,1
stuff,1,0,0,1,0,0,0,1
stumble,0,1,0,0,1,0,0,1
stupid,1,0,0,1,0,0,0,1
style,1,0,0,1,0,0,1,1
subject,1,0,0,1,0,0,1,1
subjective,0,0,1,0,0,1,0,0
submarine,0,1,0,0,1,0,0,0
submit,0,1,0,0,1,0,1,1
subordinate,0,0,1,0,0,1,1,0
subscribe,0,1,0,0,1,0,1,1
subsequent,0,0,1,0,0,1,1,0
subsidy,0,0,1,0,0,1,1,0
substance,0,1,0,0,1,0,0,0
substantial,0,1,0,0,1,0,1,0
substitute,0,1,0,0,1,0,1,1
subtle,0,1,0,0,1,0,0,0
suburb,0,1,0,0,1,0,0,1
succeed,1,0,0,1,0,0,1,1
success,1,0,0,1,0,0,1,1
successive,0,0,1,0,0,1,1,0
such,1,0,0,1,0,0,0,1
suck,1,0,0,1,0,0,0,1
sudden,1,0,0,1,0,0,0,1
sue,0,1,0,0,1,0,1,0
suffer,1,0,0,1,0,0,0,1
sufficient,0,1,0,0,1,0,1,0
sugar,1,0,0,1,0,0,0,1
suggest,1,0,0,1,0,0,1,1
suggestion,1,0,0,1,0,0,1,1
suicide,0,1,0,0,1,0,0,0
suit,1,0,0,1,0,0,1,1
suitable,0,1,0,0,1,0,1,1
suite,0,1,0,0,1,0,1,1
sum,1,0,0,1,0,0,1,1
summarize,0,1,0,0,1,0,1,1
summary,0,1,0,0,1,0,1,1
summer,1,0,0,1,0,0,0,1
summit,0,1,0,0,1,0,1,0
sun,1,0,0,1,0,0,0,1
super,1,0,0,1,0,0,0,1
superb,0,0,1,0,0,1,0,0
superficial,0,0,1,0,0,1,0,0
superintendent,0,0,1,0,0,1,0,0
superior,0,1,0,0,1,0,1,0
supervise,0,1,0,0,1,0,1,0
supplement,0,0,1,0,0,1,1,0
supply,1,0,0,1,0,0,1,1
support,1,0,0,1,0,0,1,1
suppose,1,0,0,1,0,0,0,1
suppress,0,0,1,0,0,1,0,0
supreme,0,1,0,0,1,0,0,0
sure,1,0,0,1,0,0,0,1
surface,1,0,0,1,0,0,0,1
surge,0,1,0,0,1,0,1,0
surgeon,0,1,0,0,1,0,0,0
surgery,0,1,0,0,1,0,0,1
surplus,0,0,1,0,0,1,1,0
surprise,1,0,0,1,0,0,0,1
surrender,0,1,0,0,1,0,0,0
surround,0,1,0,0,1,0,0,1
surveillance,0,0,1,0,0,1,1,0
survey,0,1,0,0,1,0,1,0
survival,0,1,0,0,1,0,0,0
survive,0,1,0,0,1,0,0,1
suspect,0,1,0,0,1,0,0,1
suspend,0,1,0,0,1,0,1,0
suspicion,0,1,0,0,1,0,0,0
sustain,0,1,0,0,1,0,1,0
sustainable,0,1,0,0,1,0,1,0
swallow,0,1,0,0,1,0,0,1
swamp,0,1,0,0,1,0,0,0
swap,0,1,0,0,1,0,0,1
swear,0,1,0,0,1,0,0,1
sweat,1,0,0,1,0,0,0,1
sweep,0,1,0,0,1,0,0,1
sweet,1,0,0,1,0,0,0,1
swell,0,1,0,0,1,0,0,0
swift,0,1,0,0,1,0,0,0
swim,1,0,0,1,0,0,0,1
swing,0,1,0,0,1,0,0,1
switch,1,0,0,1,0,0,1,1
sword,0,1,0,0,1,0,0,0
symbol,0,1,0,0,1,0,0,0
symbolize,0,0,1,0,0,1,0,0
sympathy,0,1,0,0,1,0,0,0
symptom,0,1,0,0,1,0,0,1
syndrome,0,0,1,0,0,1,0,0
synthesis,0,0,1,0,0,1,1,0
synthesize,0,0,1,0,0,1,1,0
system,1,0,0,1,0,0,1,1
systematic,0,0,1,0,0,1,1,0
table,1,0,0,1,0,0,1,1
tablet,1,0,0,1,0,0,0,1
tactic,0,1,0,0,1,0,1,0
tactical,0,0,1,0,0,1,1,0
tail,1,0,0,1,0,0,0,1
take,1,0,0,1,0,0,1,1
tale,1,0,0,1,0,0,0,1
talent,1,0,0,1,0,0,1,1
talk,1,0,0,1,0,0,1,1
tall,1,0,0,1,0,0,0,1
tame,0,1,0,0,1,0,0,1
tank,1,0,0,1,0,0,0,1
tap,0,1,0,0,1,0,0,1
tape,1,0,0,1,0,0,0,1
target,0,1,0,0,1,0,1,1
tariff,0,0,1,0,0,1,1,0
task,1,0,0,1,0,0,1,1
taste,1,0,0,1,0,0,0,1
tax,1,0,0,1,0,0,1,1
teach,1,0,0,1,0,0,0,1
teacher,1,0,0,1,0,0,0,1
team,1,0,0,1,0,0,1,1
tear,1,0,0,1,0,0,0,1
technical,0,1,0,0,1,0,1,1
technique,0,1,0,0,1,0,1,0
technology,1,0,0,1,0,0,1,1
teenager,1,0,0,1,0,0,0,1
telephone,1,0,0,1,0,0,0,1
telescope,0,1,0,0,1,0,0,0
television,1,0,0,1,0,0,0,1
tell,1,0,0,1,0,0,0,1
temperature,1,0,0,1,0,0,0,1
temple,0,1,0,0,1,0,0,1
temporary,0,1,0,0,1,0,1,1
tempt,0,1,0,0,1,0,0,0
temptation,0,1,0,0,1,0,0,0
tenant,0,1,0,0,1,0,1,1
tend,1,0,0,1,0,0,0,1
tendency,0,1,0,0,1,0,0,0
tender,0,1,0,0,1,0,0,1
tense,0,1,0,0,1,0,0,1
tension,0,1,0,0,1,0,1,1
tent,1,0,0,1,0,0,0,1
tenure,0,0,1,0,0,1,1,0
term,1,0,0,1,0,0,1,1
terminal,0,1,0,0,1,0,1,1
terminate,0,0,1,0,0,1,1,0
terrain,0,0,1,0,0,1,0,0
terrible,1,0,0,1,0,0,0,1
territory,0,1,0,0,1,0,1,0
terror,0,1,0,0,1,0,0,0
terrorism,0,1,0,0,1,0,0,0
terrorist,0,1,0,0,1,0,0,0
test,1,0,0,1,0,0,1,1
testify,0,0,1,0,0,1,1,0
testimony,0,0,1,0,0,1,1,0
text,1,0,0,1,0,0,1,1
textbook,1,0,0,1,0,0,0,0
textile,0,0,1,0,0,1,1,0
texture,0,1,0,0,1,0,0,0
than,1,0,0,1,0,0,0,1
thank,1,0,0,1,0,0,1,1
that,1,0,0,1,0,0,0,1
theater,1,0,0,1,0,0,0,1
theft,0,1,0,0,1,0,0,1
their,1,0,0,1,0,0,0,1
them,1,0,0,1,0,0,0,1
theme,0,1,0,0,1,0,0,1
themselves,1,0,0,1,0,0,0,1
then,1,0,0,1,0,0,0,1
theoretical,0,0,1,0,0,1,0,0
theory,0,1,0,0,1,0,0,0
therapy,0,1,0,0,1,0,0,1
there,1,0,0,1,0,0,0,1
thereby,0,0,1,0,0,1,1,0
therefore,0,1,0,0,1,0,1,1
thick,1,0,0,1,0,0,0,1
thief,1,0,0,1,0,0,0,1
thigh,0,1,0,0,1,0,0,1
thin,1,0,0,1,0,0,0,1
thing,1,0,0,1,0,0,0,1
think,1,0,0,1,0,0,0,1
third,1,0,0,1,0,0,0,1
thirst,0,1,0,0,1,0,0,1
this,1,0,0,1,0,0,0,1
thorough,0,1,0,0,1,0,1,0
though,1,0,0,1,0,0,0,1
thought,1,0,0,1,0,0,0,1
thousand,1,0,0,1,0,0,0,1
threat,0,1,0,0,1,0,1,1
threaten,0,1,0,0,1,0,0,1
threshold,0,0,1,0,0,1,1,0
thrill,0,1,0,0,1,0,0,1
thrive,0,1,0,0,1,0,1,0
throat,1,0,0,1,0,0,0,1
throne,0,1,0,0,1,0,0,0
through,1,0,0,1,0,0,0,1
throughout,0,1,0,0,1,0,0,1
throw,1,0,0,1,0,0,0,1
thrust,0,0,1,0,0,1,0,0
thumb,1,0,0,1,0,0,0,1
thunder,1,0,0,1,0,0,0,1
thus,0,1,0,0,1,0,1,0
tick,0,1,0,0,1,0,0,1
ticket,1,0,0,1,0,0,0,1
tide,0,1,0,0,1,0,0,0
tie,1,0,0,1,0,0,1,1
tiger,1,0,0,1,0,0,0,1
tight,1,0,0,1,0,0,0,1
tighten,0,1,0,0,1,0,1,0
tile,0,1,0,0,1,0,0,1
till,1,0,0,1,0,0,0,1
timber,0,0,1,0,0,1,0,0
time,1,0,0,1,0,0,1,1
timid,0,1,0,0,1,0,0,0
tin,1,0,0,1,0,0,0,1
tiny,1,0,0,1,0,0,0,1
tip,1,0,0,1,0,0,1,1
tire,1,0,0,1,0,0,0,1
tissue,0,1,0,0,1,0,0,1
title,1,0,0,1,0,0,1,1
toast,1,0,0,1,0,0,0,1
tobacco,0,1,0,0,1,0,0,0
today,1,0,0,1,0,0,0,1
toe,1,0,0,1,0,0,0,1
together,1,0,0,1,0,0,0,1
toilet,1,0,0,1,0,0,0,1
token,0,1,0,0,1,0,1,0
tolerate,0,1,0,0,1,0,0,0
toll,0,1,0,0,1,0,0,1
tomorrow,1,0,0,1,0,0,0,1
ton,1,0,0,1,0,0,0,1
tone,0,1,0,0,1,0,1,1
tongue,1,0,0,1,0,0,0,1
tonight,1,0,0,1,0,0,0,1
too,1,0,0,1,0,0,0,1
tool,1,0,0,1,0,0,1,1
tooth,1,0,0,1,0,0,0,1
top,1,0,0,1,0,0,1,1
topic,1,0,0,1,0,0,1,1
torch,0,1,0,0,1,0,0,1
torture,0,1,0,0,1,0,0,0
toss,0,1,0,0,1,0,0,1
total,1,0,0,1,0,0,1,1
touch,1,0,0,1,0,0,0,1
tough,1,0,0,1,0,0,0,1
tour,1,0,0,1,0,0,0,1
tourism,0,1,0,0,1,0,1,0
tourist,1,0,0,1,0,0,0,1
tournament,0,1,0,0,1,0,0,1
toward,1,0,0,1,0,0,0,1
tower,1,0,0,1,0,0,0,1
town,1,0,0,1,0,0,0,1
toxic,0,1,0,0,1,0,0,0
toy,1,0,0,1,0,0,0,1
trace,0,1,0,0,1,0,0,0
track,1,0,0,1,0,0,1,1
trade,1,0,0,1,0,0,1,1
trademark,0,0,1,0,0,1,1,0
tradition,1,0,0,1,0,0,0,1
traditional,1,0,0,1,0,0,0,1
traffic,1,0,0,1,0,0,0,1
tragedy,0,1,0,0,1,0,0,0
tragic,0,1,0,0,1,0,0,0
trail,0,1,0,0,1,0,0,1
train,1,0,0,1,0,0,1,1
trait,0,1,0,0,1,0,0,0
transaction,0,1,0,0,1,0,1,0
transcript,0,0,1,0,0,1,1,0
transfer,0,1,0,0,1,0,1,1
transform,0,1,0,0,1,0,1,0
transformation,0,1,0,0,1,0,1,0
transit,0,1,0,0,1,0,1,1
transition,0,1,0,0,1,0,1,0
translate,0,1,0,0,1,0,0,1
transmission,0,0,1,0,0,1,1,0
transmit,0,0,1,0,0,1,1,0
transparent,0,1,0,0,1,0,1,0
transport,0,1,0,0,1,0,1,1
transportation,0,1,0,0,1,0,1,1
trap,0,1,0,0,1,0,0,1
trash,1,0,0,1,0,0,0,1
trauma,0,1,0,0,1,0,0,0
travel,1,0,0,1,0,0,1,1
traveler,1,0,0,1,0,0,0,1
tray,1,0,0,1,0,0,0,1
treasure,1,0,0,1,0,0,0,1
treasury,0,0,1,0,0,1,1,0
treat,1,0,0,1,0,0,0,1
treatment,1,0,0,1,0,0,0,1
treaty,0,0,1,0,0,1,0,0
tree,1,0,0,1,0,0,0,1
tremble,0,1,0,0,1,0,0,0
tremendous,0,1,0,0,1,0,0,0
trend,0,1,0,0,1,0,1,1
trial,0,1,0,0,1,0,1,0
triangle,1,0,0,1,0,0,0,0
tribe,0,1,0,0,1,0,0,0
tribal,0,1,0,0,1,0,0,0
tribute,0,0,1,0,0,1,0,0
trick,1,0,0,1,0,0,0,1
trigger,0,1,0,0,1,0,1,0
trim,0,1,0,0,1,0,0,1
trip,1,0,0,1,0,0,0,1
triumph,0,1,0,0,1,0,0,0
trivial,0,0,1,0,0,1,0,0
troop,0,1,0,0,1,0,0,0
trophy,0,1,0,0,1,0,0,1
tropical,0,1,0,0,1,0,0,0
trouble,1,0,0,1,0,0,0,1
truck,1,0,0,1,0,0,0,1
true,1,0,0,1,0,0,0,1
truly,1,0,0,1,0,0,0,1
trunk,1,0,0,1,0,0,0,1
trust,1,0,0,1,0,0,1,1
truth,1,0,0,1,0,0,0,1
try,1,0,0,1,0,0,0,1
tube,1,0,0,1,0,0,0,1
tuition,0,1,0,0,1,0,0,0
tumor,0,1,0,0,1,0,0,0
tune,1,0,0,1,0,0,0,1
tunnel,0,1,0,0,1,0,0,1
turn,1,0,0,1,0,0,1,1
turnover,0,0,1,0,0,1,1,0
tutor,0,1,0,0,1,0,0,1
twist,0,1,0,0,1,0,0,1
type,1,0,0,1,0,0,1,1
typical,0,1,0,0,1,0,1,1
ugly,1,0,0,1,0,0,0,1
ultimate,0,1,0,0,1,0,1,0
umbrella,1,0,0,1,0,0,0,1
unable,1,0,0,1,0,0,0,1
unanimous,0,0,1,0,0,1,1,0
uncertain,0,1,0,0,1,0,0,1
uncle,1,0,0,1,0,0,0,1
uncover,0,1,0,0,1,0,0,0
undergo,0,0,1,0,0,1,1,0
undergraduate,0,1,0,0,1,0,0,0
underlie,0,0,1,0,0,1,0,0
undermine,0,0,1,0,0,1,1,0
understand,1,0,0,1,0,0,1,1
undertake,0,0,1,0,0,1,1,0
unemploy,0,1,0,0,1,0,1,0
unemployment,0,1,0,0,1,0,1,0
unfair,1,0,0,1,0,0,0,1
uniform,0,1,0,0,1,0,0,1
unify,0,0,1,0,0,1,0,0
union,0,1,0,0,1,0,1,0
unique,0,1,0,0,1,0,1,1
unit,1,0,0,1,0,0,1,1
unite,0,1,0,0,1,0,0,0
unity,0,1,0,0,1,0,0,0
universal,0,1,0,0,1,0,0,0
universe,1,0,0,1,0,0,0,1
university,1,0,0,1,0,0,0,1
unknown,1,0,0,1,0,0,0,1
unless,1,0,0,1,0,0,0,1
unlike,1,0,0,1,0,0,0,1
unlikely,0,1,0,0,1,0,0,1
unprecedented,0,0,1,0,0,1,1,0
until,1,0,0,1,0,0,0,1
unusual,1,0,0,1,0,0,0,1
unveil,0,0,1,0,0,1,1,0
up,1,0,0,1,0,0,0,1
update,1,0,0,1,0,0,1,1
upgrade,0,1,0,0,1,0,1,1
uphold,0,0,1,0,0,1,1,0
upon,1,0,0,1,0,0,0,1
upper,1,0,0,1,0,0,0,1
upset,1,0,0,1,0,0,0,1
upward,0,1,0,0,1,0,1,0
urban,0,1,0,0,1,0,0,0
urge,0,1,0,0,1,0,0,0
urgent,0,1,0,0,1,0,1,1
us,1,0,0,1,0,0,0,1
usage,0,1,0,0,1,0,1,0
use,1,0,0,1,0,0,1,1
useful,1,0,0,1,0,0,1,1
user,1,0,0,1,0,0,1,1
usual,1,0,0,1,0,0,0,1
utility,0,1,0,0,1,0,1,0
utilize,0,1,0,0,1,0,1,0
utmost,0,0,1,0,0,1,1,0
utter,0,0,1,0,0,1,0,0
vacant,0,1,0,0,1,0,1,0
vacation,1,0,0,1,0,0,0,1
vacuum,0,1,0,0,1,0,0,1
vague,0,1,0,0,1,0,0,0
vain,0,1,0,0,1,0,0,0
valid,0,1,0,0,1,0,1,1
validate,0,0,1,0,0,1,1,0
valley,1,0,0,1,0,0,0,1
valuable,0,1,0,0,1,0,1,1
value,1,0,0,1,0,0,1,1
van,1,0,0,1,0,0,0,1
vanish,0,1,0,0,1,0,0,0
variable,0,1,0,0,1,0,1,0
variation,0,1,0,0,1,0,0,0
variety,0,1,0,0,1,0,1,1
various,0,1,0,0,1,0,1,1
vary,0,1,0,0,1,0,1,0
vast,0,1,0,0,1,0,0,0
vegetable,1,0,0,1,0,0,0,1
vehicle,0,1,0,0,1,0,1,1
veil,0,1,0,0,1,0,0,0
vein,0,1,0,0,1,0,0,0
velocity,0,0,1,0,0,1,0,0
vendor,0,1,0,0,1,0,1,0
venture,0,1,0,0,1,0,1,0
venue,0,1,0,0,1,0,1,1
verb,1,0,0,1,0,0,0,0
verbal,0,1,0,0,1,0,0,0
verdict,0,0,1,0,0,1,1,0
verify,0,1,0,0,1,0,1,0
versatile,0,0,1,0,0,1,0,0
verse,0,1,0,0,1,0,0,0
version,1,0,0,1,0,0,1,1
versus,0,1,0,0,1,0,1,0
