word,everyday_english,toefl_beginner,toefl_intermediate,toefl_advanced,ielts_beginner,ielts_intermediate,ielts_advanced,business_english
derive,0,0,1,0,0,1,0,0
descend,0,0,1,0,0,1,0,0
describe,1,1,0,0,1,0,0,0
desert,1,1,0,0,1,0,0,0
deserve,1,1,0,0,1,0,0,0
design,1,1,0,0,1,0,0,1
desire,0,1,0,0,1,0,0,0
despair,0,0,1,0,0,1,0,0
desperate,0,0,1,0,0,1,0,0
despite,0,1,0,0,1,0,0,0
destination,1,1,0,0,1,0,0,0
destiny,0,0,1,0,0,1,0,0
destroy,1,1,0,0,1,0,0,0
destruction,0,1,0,0,1,0,0,0
detail,1,1,0,0,1,0,0,1
detect,0,1,0,0,1,0,0,0
deter,0,0,1,0,0,1,0,0
deteriorate,0,0,0,1,0,0,1,0
determine,0,1,0,0,1,0,0,1
detrimental,0,0,0,1,0,0,1,0
devastate,0,0,1,0,0,1,0,0
develop,1,1,0,0,1,0,0,1
device,1,1,0,0,1,0,0,0
devote,0,0,1,0,0,1,0,0
diagnose,0,0,1,0,0,1,0,0
diagram,0,1,0,0,1,0,0,0
dialogue,0,1,0,0,1,0,0,0
diet,1,1,0,0,1,0,0,0
differ,0,1,0,0,1,0,0,0
difficult,1,1,0,0,1,0,0,0
diffuse,0,0,0,1,0,0,1,0
dignity,0,0,1,0,0,1,0,0
dilemma,0,0,1,0,0,1,0,0
diligent,0,0,1,0,0,1,0,1
dim,1,0,1,0,0,1,0,0
dimension,0,0,1,0,0,1,0,0
diminish,0,0,1,0,0,1,0,0
diplomat,0,0,1,0,0,1,0,0
direct,1,1,0,0,1,0,0,1
disable,0,0,1,0,0,1,0,0
disadvantage,0,1,0,0,1,0,0,0
disagree,1,1,0,0,1,0,0,0
disappear,1,1,0,0,1,0,0,0
disappoint,1,1,0,0,1,0,0,0
disaster,1,1,0,0,1,0,0,0
discard,0,0,1,0,0,1,0,0
discern,0,0,0,1,0,0,1,0
discharge,0,0,1,0,0,1,0,0
discipline,0,1,0,0,1,0,0,1
disclose,0,0,1,0,0,1,0,1
discount,1,1,0,0,1,0,0,1
discourage,0,1,0,0,1,0,0,0
discourse,0,0,0,1,0,0,1,0
discover,1,1,0,0,1,0,0,0
discrepancy,0,0,0,1,0,0,1,1
discrete,0,0,0,1,0,0,1,0
discriminate,0,0,1,0,0,1,0,0
discuss,1,1,0,0,1,0,0,1
disease,1,1,0,0,1,0,0,0
disguise,0,0,1,0,0,1,0,0
dismiss,0,0,1,0,0,1,0,1
disorder,0,1,0,0,1,0,0,0
dispatch,0,0,1,0,0,1,0,1
disperse,0,0,0,1,0,0,1,0
displace,0,0,1,0,0,1,0,0
display,1,1,0,0,1,0,0,1
dispose,0,0,1,0,0,1,0,0
dispute,0,0,1,0,0,1,0,1
disrupt,0,0,1,0,0,1,0,1
dissent,0,0,0,1,0,0,1,0
dissolve,0,0,1,0,0,1,0,0
distance,1,1,0,0,1,0,0,0
distant,0,1,0,0,1,0,0,0
distinct,0,0,1,0,0,1,0,0
distinguish,0,0,1,0,0,1,0,0
distort,0,0,1,0,0,1,0,0
distract,0,0,1,0,0,1,0,0
distribute,0,1,0,0,1,0,0,1
district,0,1,0,0,1,0,0,0
disturb,0,1,0,0,1,0,0,0
diverse,0,0,1,0,0,1,0,1
divert,0,0,1,0,0,1,0,0
divide,1,1,0,0,1,0,0,0
divine,0,0,1,0,0,1,0,0
divorce,1,1,0,0,1,0,0,0
doctrine,0,0,0,1,0,0,1,0
document,1,1,0,0,1,0,0,1
domain,0,0,1,0,0,1,0,1
domestic,0,1,0,0,1,0,0,1
dominate,0,0,1,0,0,1,0,0
donate,0,1,0,0,1,0,0,0
doom,0,0,1,0,0,1,0,0
dormant,0,0,0,1,0,0,1,0
dose,0,0,1,0,0,1,0,0
doubt,1,1,0,0,1,0,0,0
draft,1,1,0,0,1,0,0,1
drain,1,0,1,0,0,1,0,0
drama,1,1,0,0,1,0,0,0
drastic,0,0,1,0,0,1,0,0
draw,1,1,0,0,1,0,0,0
dread,0,0,1,0,0,1,0,0
dream,1,1,0,0,1,0,0,0
drift,0,0,1,0,0,1,0,0
drill,1,1,0,0,1,0,0,0
drive,1,1,0,0,1,0,0,1
drop,1,1,0,0,1,0,0,0
drought,0,0,1,0,0,1,0,0
drown,1,0,1,0,0,1,0,0
dual,0,0,1,0,0,1,0,1
dubious,0,0,0,1,0,0,1,0
dull,1,0,1,0,0,1,0,0
dump,1,0,1,0,0,1,0,0
duplicate,0,0,1,0,0,1,0,1
durable,0,0,1,0,0,1,0,1
duration,0,0,1,0,0,1,0,1
during,1,1,0,0,1,0,0,0
dust,1,1,0,0,1,0,0,0
duty,1,1,0,0,1,0,0,1
dwell,0,0,1,0,0,1,0,0
dwindle,0,0,0,1,0,0,1,0
dynamic,0,0,1,0,0,1,0,1
eager,0,1,0,0,1,0,0,0
earn,1,1,0,0,1,0,0,1
earth,1,1,0,0,1,0,0,0
ease,1,1,0,0,1,0,0,0
east,1,1,0,0,1,0,0,0
easy,1,1,0,0,1,0,0,0
echo,0,0,1,0,0,1,0,0
eclipse,0,0,1,0,0,1,0,0
ecology,0,0,1,0,0,1,0,0
economic,0,1,0,0,1,0,0,1
economy,1,1,0,0,1,0,0,1
ecosystem,0,0,1,0,0,1,0,0
edge,1,1,0,0,1,0,0,0
edit,1,1,0,0,1,0,0,1
educate,0,1,0,0,1,0,0,0
education,1,1,0,0,1,0,0,0
effect,1,1,0,0,1,0,0,1
effective,0,1,0,0,1,0,0,1
efficient,0,1,0,0,1,0,0,1
effort,1,1,0,0,1,0,0,1
ego,0,0,1,0,0,1,0,0
elaborate,0,0,1,0,0,1,0,0
elastic,0,0,1,0,0,1,0,0
elbow,1,1,0,0,1,0,0,0
elder,1,1,0,0,1,0,0,0
elect,0,1,0,0,1,0,0,0
electric,1,1,0,0,1,0,0,0
element,0,1,0,0,1,0,0,0
elevate,0,0,1,0,0,1,0,1
eligible,0,0,1,0,0,1,0,1
eliminate,0,0,1,0,0,1,0,1
elite,0,0,1,0,0,1,0,0
eloquent,0,0,0,1,0,0,1,0
elude,0,0,0,1,0,0,1,0
elusive,0,0,0,1,0,0,1,0
embark,0,0,1,0,0,1,0,0
embarrass,1,1,0,0,1,0,0,0
embed,0,0,1,0,0,1,0,0
embody,0,0,0,1,0,0,1,0
embrace,0,0,1,0,0,1,0,0
emerge,0,0,1,0,0,1,0,1
emergency,1,1,0,0,1,0,0,0
emission,0,0,1,0,0,1,0,0
emit,0,0,1,0,0,1,0,0
emotion,1,1,0,0,1,0,0,0
empathy,0,0,1,0,0,1,0,0
emperor,0,1,0,0,1,0,0,0
emphasis,0,0,1,0,0,1,0,0
emphasize,0,0,1,0,0,1,0,1
empire,0,1,0,0,1,0,0,0
empirical,0,0,0,1,0,0,1,0
employ,0,1,0,0,1,0,0,1
employee,1,1,0,0,1,0,0,1
employer,1,1,0,0,1,0,0,1
empower,0,0,1,0,0,1,0,1
empty,1,1,0,0,1,0,0,0
enable,0,0,1,0,0,1,0,1
enact,0,0,0,1,0,0,1,0
encounter,0,0,1,0,0,1,0,0
encourage,1,1,0,0,1,0,0,1
endeavor,0,0,0,1,0,0,1,1
endorse,0,0,1,0,0,1,0,1
endure,0,0,1,0,0,1,0,0
enemy,1,1,0,0,1,0,0,0
energy,1,1,0,0,1,0,0,1
enforce,0,0,1,0,0,1,0,1
engage,0,0,1,0,0,1,0,1
engine,1,1,0,0,1,0,0,0
enhance,0,0,1,0,0,1,0,1
enigma,0,0,0,1,0,0,1,0
enjoy,1,1,0,0,1,0,0,0
enlighten,0,0,1,0,0,1,0,0
enormous,0,1,0,0,1,0,0,0
enough,1,1,0,0,1,0,0,0
enrich,0,0,1,0,0,1,0,0
enroll,0,1,0,0,1,0,0,0
ensure,0,1,0,0,1,0,0,1
enterprise,0,0,1,0,0,1,0,1
entertain,1,1,0,0,1,0,0,0
enthusiasm,0,0,1,0,0,1,0,0
entire,1,1,0,0,1,0,0,0
entity,0,0,1,0,0,1,0,1
entrance,1,1,0,0,1,0,0,0
entrepreneur,0,0,1,0,0,1,0,1
entry,1,1,0,0,1,0,0,1
envelope,1,1,0,0,1,0,0,0
environment,1,1,0,0,1,0,0,1
envision,0,0,0,1,0,0,1,1
envy,0,0,1,0,0,1,0,0
episode,0,1,0,0,1,0,0,0
equal,1,1,0,0,1,0,0,0
equate,0,0,0,1,0,0,1,0
equation,0,1,0,0,1,0,0,0
equip,0,0,1,0,0,1,0,1
equivalent,0,0,1,0,0,1,0,1
era,0,1,0,0,1,0,0,0
eradicate,0,0,0,1,0,0,1,0
erase,1,1,0,0,1,0,0,0
erect,0,0,1,0,0,1,0,0
erode,0,0,0,1,0,0,1,0
erosion,0,0,1,0,0,1,0,0
error,1,1,0,0,1,0,0,1
erupt,0,0,1,0,0,1,0,0
escalate,0,0,1,0,0,1,0,1
escape,1,1,0,0,1,0,0,0
escort,0,0,1,0,0,1,0,0
essay,0,1,0,0,1,0,0,0
essence,0,0,1,0,0,1,0,0
essential,0,1,0,0,1,0,0,1
establish,0,1,0,0,1,0,0,1
estate,0,0,1,0,0,1,0,1
esteem,0,0,0,1,0,0,1,0
estimate,0,1,0,0,1,0,0,1
eternal,0,0,1,0,0,1,0,0
ethic,0,0,1,0,0,1,0,1
ethnic,0,0,1,0,0,1,0,0
evacuate,0,0,1,0,0,1,0,0
evaluate,0,0,1,0,0,1,0,1
evaporate,0,0,1,0,0,1,0,0
even,1,1,0,0,1,0,0,0
event,1,1,0,0,1,0,0,1
eventual,0,0,1,0,0,1,0,0
ever,1,1,0,0,1,0,0,0
every,1,1,0,0,1,0,0,0
evidence,0,1,0,0,1,0,0,1
evident,0,0,1,0,0,1,0,0
evil,1,1,0,0,1,0,0,0
evoke,0,0,0,1,0,0,1,0
evolution,0,0,1,0,0,1,0,0
evolve,0,0,1,0,0,1,0,1
exact,1,1,0,0,1,0,0,0
exaggerate,0,0,1,0,0,1,0,0
exam,1,1,0,0,1,0,0,0
examine,0,1,0,0,1,0,0,0
example,1,1,0,0,1,0,0,0
exceed,0,0,1,0,0,1,0,1
excel,0,0,1,0,0,1,0,1
excellent,1,1,0,0,1,0,0,0
except,1,1,0,0,1,0,0,0
exception,0,1,0,0,1,0,0,1
excerpt,0,0,0,1,0,0,1,0
excess,0,0,1,0,0,1,0,1
exchange,1,1,0,0,1,0,0,1
excite,1,1,0,0,1,0,0,0
exclude,0,0,1,0,0,1,0,1
exclusive,0,0,1,0,0,1,0,1
excuse,1,1,0,0,1,0,0,0
execute,0,0,1,0,0,1,0,1
executive,0,0,1,0,0,1,0,1
exempt,0,0,0,1,0,0,1,1
exercise,1,1,0,0,1,0,0,0
exert,0,0,1,0,0,1,0,0
exhaust,0,0,1,0,0,1,0,0
exhibit,0,0,1,0,0,1,0,0
exile,0,0,1,0,0,1,0,0
exist,1,1,0,0,1,0,0,0
exit,1,1,0,0,1,0,0,0
exotic,0,0,1,0,0,1,0,0
expand,0,1,0,0,1,0,0,1
expansion,0,0,1,0,0,1,0,1
expect,1,1,0,0,1,0,0,1
expedition,0,0,1,0,0,1,0,0
expel,0,0,1,0,0,1,0,0
expense,1,1,0,0,1,0,0,1
expensive,1,1,0,0,1,0,0,0
experience,1,1,0,0,1,0,0,1
experiment,0,1,0,0,1,0,0,0
expert,1,1,0,0,1,0,0,1
expertise,0,0,1,0,0,1,0,1
expire,0,0,1,0,0,1,0,1
explain,1,1,0,0,1,0,0,0
explicit,0,0,1,0,0,1,0,1
explode,1,1,0,0,1,0,0,0
exploit,0,0,1,0,0,1,0,0
explore,1,1,0,0,1,0,0,0
explosion,0,1,0,0,1,0,0,0
export,0,1,0,0,1,0,0,1
expose,0,0,1,0,0,1,0,0
exposure,0,0,1,0,0,1,0,1
express,1,1,0,0,1,0,0,1
extend,0,1,0,0,1,0,0,1
extensive,0,0,1,0,0,1,0,1
extent,0,0,1,0,0,1,0,0
external,0,0,1,0,0,1,0,1
extinct,0,0,1,0,0,1,0,0
extra,1,1,0,0,1,0,0,0
extract,0,0,1,0,0,1,0,0
extraordinary,0,0,1,0,0,1,0,0
extreme,0,1,0,0,1,0,0,0
eye,1,1,0,0,1,0,0,0
fabric,0,0,1,0,0,1,0,0
fabricate,0,0,0,1,0,0,1,0
facade,0,0,0,1,0,0,1,0
face,1,1,0,0,1,0,0,0
facet,0,0,0,1,0,0,1,0
facilitate,0,0,1,0,0,1,0,1
facility,0,1,0,0,1,0,0,1
fact,1,1,0,0,1,0,0,0
factor,0,1,0,0,1,0,0,1
factory,1,1,0,0,1,0,0,0
faculty,0,0,1,0,0,1,0,0
fade,0,0,1,0,0,1,0,0
fail,1,1,0,0,1,0,0,1
faint,0,0,1,0,0,1,0,0
fair,1,1,0,0,1,0,0,1
faith,1,1,0,0,1,0,0,0
fake,1,0,1,0,0,1,0,0
fall,1,1,0,0,1,0,0,0
false,1,1,0,0,1,0,0,0
fame,0,1,0,0,1,0,0,0
familiar,1,1,0,0,1,0,0,0
family,1,1,0,0,1,0,0,0
famine,0,0,1,0,0,1,0,0
famous,1,1,0,0,1,0,0,0
fan,1,1,0,0,1,0,0,0
fancy,1,0,1,0,0,1,0,0
fantastic,1,1,0,0,1,0,0,0
fantasy,0,1,0,0,1,0,0,0
far,1,1,0,0,1,0,0,0
fare,1,0,1,0,0,1,0,0
farm,1,1,0,0,1,0,0,0
fascinate,0,0,1,0,0,1,0,0
fashion,1,1,0,0,1,0,0,0
fast,1,1,0,0,1,0,0,0
fate,0,0,1,0,0,1,0,0
father,1,1,0,0,1,0,0,0
fatigue,0,0,1,0,0,1,0,0
fault,1,1,0,0,1,0,0,0
favor,1,1,0,0,1,0,0,1
favorable,0,0,1,0,0,1,0,1
fear,1,1,0,0,1,0,0,0
feasible,0,0,1,0,0,1,0,1
feast,0,0,1,0,0,1,0,0
feat,0,0,1,0,0,1,0,0
feature,1,1,0,0,1,0,0,1
federal,0,1,0,0,1,0,0,0
fee,1,1,0,0,1,0,0,1
feed,1,1,0,0,1,0,0,0
feedback,1,0,1,0,0,1,0,1
feel,1,1,0,0,1,0,0,0
fellow,0,1,0,0,1,0,0,0
female,1,1,0,0,1,0,0,0
fence,1,1,0,0,1,0,0,0
fertile,0,0,1,0,0,1,0,0
festival,1,1,0,0,1,0,0,0
fetch,1,0,1,0,0,1,0,0
fever,1,1,0,0,1,0,0,0
few,1,1,0,0,1,0,0,0
fiber,0,0,1,0,0,1,0,0
fiction,0,1,0,0,1,0,0,0
field,1,1,0,0,1,0,0,1
fierce,0,0,1,0,0,1,0,0
fight,1,1,0,0,1,0,0,0
figure,1,1,0,0,1,0,0,1
file,1,1,0,0,1,0,0,1
fill,1,1,0,0,1,0,0,0
film,1,1,0,0,1,0,0,0
filter,0,0,1,0,0,1,0,1
final,1,1,0,0,1,0,0,1
finance,0,1,0,0,1,0,0,1
find,1,1,0,0,1,0,0,0
fine,1,1,0,0,1,0,0,0
finger,1,1,0,0,1,0,0,0
finite,0,0,1,0,0,1,0,0
fire,1,1,0,0,1,0,0,0
firm,1,1,0,0,1,0,0,1
first,1,1,0,0,1,0,0,0
fiscal,0,0,1,0,0,1,0,1
fish,1,1,0,0,1,0,0,0
fit,1,1,0,0,1,0,0,0
fix,1,1,0,0,1,0,0,0
flag,1,1,0,0,1,0,0,0
flame,1,0,1,0,0,1,0,0
flash,1,1,0,0,1,0,0,0
flat,1,1,0,0,1,0,0,0
flavor,1,1,0,0,1,0,0,0
flaw,0,0,1,0,0,1,0,0
flee,0,0,1,0,0,1,0,0
fleet,0,0,1,0,0,1,0,0
flesh,0,0,1,0,0,1,0,0
flexible,0,0,1,0,0,1,0,1
flight,1,1,0,0,1,0,0,0
float,1,0,1,0,0,1,0,0
flock,0,0,1,0,0,1,0,0
flood,1,1,0,0,1,0,0,0
floor,1,1,0,0,1,0,0,0
flourish,0,0,1,0,0,1,0,0
flow,1,1,0,0,1,0,0,0
flower,1,1,0,0,1,0,0,0
fluctuate,0,0,1,0,0,1,0,1
fluent,0,0,1,0,0,1,0,0
fluid,0,0,1,0,0,1,0,0
focus,1,1,0,0,1,0,0,1
fog,1,1,0,0,1,0,0,0
fold,1,0,1,0,0,1,0,0
folk,0,1,0,0,1,0,0,0
follow,1,1,0,0,1,0,0,0
fond,0,0,1,0,0,1,0,0
food,1,1,0,0,1,0,0,0
fool,1,1,0,0,1,0,0,0
foot,1,1,0,0,1,0,0,0
forbid,0,0,1,0,0,1,0,0
force,1,1,0,0,1,0,0,1
forecast,0,0,1,0,0,1,0,1
foreign,1,1,0,0,1,0,0,1
forest,1,1,0,0,1,0,0,0
forever,1,1,0,0,1,0,0,0
forge,0,0,1,0,0,1,0,0
forget,1,1,0,0,1,0,0,0
forgive,1,1,0,0,1,0,0,0
form,1,1,0,0,1,0,0,1
formal,0,1,0,0,1,0,0,1
format,1,1,0,0,1,0,0,1
former,0,1,0,0,1,0,0,0
formula,0,1,0,0,1,0,0,0
formulate,0,0,1,0,0,1,0,1
fort,0,1,0,0,1,0,0,0
forth,0,0,1,0,0,1,0,0
fortune,0,1,0,0,1,0,0,0
forum,0,0,1,0,0,1,0,1
forward,1,1,0,0,1,0,0,1
fossil,0,0,1,0,0,1,0,0
foster,0,0,1,0,0,1,0,1
found,1,1,0,0,1,0,0,0
foundation,0,1,0,0,1,0,0,1
founder,0,0,1,0,0,1,0,1
fountain,1,1,0,0,1,0,0,0
fraction,0,0,1,0,0,1,0,0
fragile,0,0,1,0,0,1,0,0
fragment,0,0,1,0,0,1,0,0
frame,1,1,0,0,1,0,0,1
framework,0,0,1,0,0,1,0,1
frank,0,0,1,0,0,1,0,0
fraud,0,0,1,0,0,1,0,1
free,1,1,0,0,1,0,0,0
freedom,1,1,0,0,1,0,0,0
freeze,1,1,0,0,1,0,0,0
freight,0,0,1,0,0,1,0,1
frequent,0,1,0,0,1,0,0,0
fresh,1,1,0,0,1,0,0,0
friction,0,0,1,0,0,1,0,0
friend,1,1,0,0,1,0,0,0
frighten,0,1,0,0,1,0,0,0
fringe,0,0,0,1,0,0,1,0
frontier,0,0,1,0,0,1,0,0
frost,1,0,1,0,0,1,0,0
fruit,1,1,0,0,1,0,0,0
frustrate,0,0,1,0,0,1,0,0
fuel,1,1,0,0,1,0,0,0
fulfill,0,0,1,0,0,1,0,1
full,1,1,0,0,1,0,0,0
function,0,1,0,0,1,0,0,1
fund,0,1,0,0,1,0,0,1
fundamental,0,0,1,0,0,1,0,1
funeral,1,1,0,0,1,0,0,0
fungus,0,0,1,0,0,1,0,0
fur,1,1,0,0,1,0,0,0
furious,0,0,1,0,0,1,0,0
furnish,0,0,1,0,0,1,0,0
furniture,1,1,0,0,1,0,0,0
further,1,1,0,0,1,0,0,1
fury,0,0,1,0,0,1,0,0
fuse,0,0,1,0,0,1,0,0
futile,0,0,0,1,0,0,1,0
future,1,1,0,0,1,0,0,1
